level,cn,ev_p_rooij,ev_p_delta,ev_a_given_c,ev_nc_given_na,ev_A || C,ev_A implies -C,ev_A implies C,ev_C implies -A,ev_C implies A,alpha,cost_conditional,ev_uncertain_both
PL,A implies C,0.4372477841430211,0.41036076247032954,0.41934620850394877,0.42616886498180173,0.12102044393154231,3.011088932619498e-13,0.4541528684812254,3.7665320503805014e-4,0.4244500343819144,3,0,0.8720556554356571
PL,C implies -A,-0.30157706627952746,-2.04099229641432e-5,4.93216127498875e-5,1.8576359962748494e-7,0.12102044393154231,3.011088932619498e-13,0.4541528684812254,3.7665320503805014e-4,0.4244500343819144,3,0,0.8720556554356571
PL,C implies A,0.41011634235567523,0.37208593106954774,0.3995774930185528,0.38524207431335594,0.12102044393154231,3.011088932619498e-13,0.4541528684812254,3.7665320503805014e-4,0.4244500343819144,3,0,0.8720556554356571
prior,A || C,-13.687276239670766,0.010904319816701851,0.23356908157686232,0.22087208569443967,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,3,0,0.6167182661809306
prior,A implies -C,-25.103542705506225,-0.1254218295324652,0.010829036194738954,0.006902258293673033,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,3,0,0.6167182661809306
prior,A implies C,0.1289925944798248,0.12243063128680366,0.12489786203377998,0.12930311396144095,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,3,0,0.6167182661809306
prior,C implies -A,-48.10929802981573,-0.11606542312336467,0.0068008935658471145,0.01146529087648965,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,3,0,0.6167182661809306
prior,C implies A,0.12418492877101418,0.11384556490168506,0.12878930714424505,0.1250523680340861,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,3,0,0.6167182661809306
LL,A || C,-33.089774357499394,0.09476809551816032,0.23729654786382065,0.10324664612658319,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,5,0,0.5562985815035588
LL,A implies -C,-6.17919763290141e-11,-7.17587080620969e-14,5.8462490166522e-13,4.295141799196171e-14,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,5,0,0.5562985815035588
LL,A implies C,0.32347969082651484,0.30652014598090654,0.30774394849101405,0.31773555223540967,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,5,0,0.5562985815035588
LL,C implies -A,-1.7488781238012843,-7.601939298403021e-5,1.3265202235916083e-4,4.752490565399193e-7,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,5,0,0.5562985815035588
LL,C implies A,0.2902818676642596,0.26197801408618665,0.2843879945554411,0.27060464255997063,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,5,0,0.5562985815035588
PL,A || C,-0.3559038563959682,8.762188523844729e-4,0.023806900629970096,0.002218579773673143,0.04254066568707924,8.872128914700308e-14,0.4950156868012945,1.21352304053646e-4,0.46232229520750434,5,0,0.9624274143778333
PL,A implies -C,-7.976499579365057e-12,-5.0902928916426455e-15,5.1284910168304114e-14,2.589584586211875e-15,0.04254066568707924,8.872128914700308e-14,0.4950156868012945,1.21352304053646e-4,0.46232229520750434,5,0,0.9624274143778333
PL,A implies C,0.47640661423690256,0.44652234051496603,0.45728597628196704,0.46388619498537675,0.04254066568707924,8.872128914700308e-14,0.4950156868012945,1.21352304053646e-4,0.46232229520750434,5,0,0.9624274143778333
PL,C implies -A,-0.09686455925419267,-6.640776378575331e-6,1.6138502356293337e-5,6.042616999866756e-8,0.04254066568707924,8.872128914700308e-14,0.4950156868012945,1.21352304053646e-4,0.46232229520750434,5,0,0.9624274143778333
PL,C implies A,0.44635234298892185,0.40544802463923435,0.43466607261349866,0.42005118751781817,0.04254066568707924,8.872128914700308e-14,0.4950156868012945,1.21352304053646e-4,0.46232229520750434,5,0,0.9624274143778333
prior,A || C,-13.687276239670766,0.010904319816701851,0.23356908157686232,0.22087208569443967,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,5,0,0.6167182661809306
prior,A implies -C,-25.103542705506225,-0.1254218295324652,0.010829036194738954,0.006902258293673033,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,5,0,0.6167182661809306
prior,A implies C,0.1289925944798248,0.12243063128680366,0.12489786203377998,0.12930311396144095,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,5,0,0.6167182661809306
prior,C implies -A,-48.10929802981573,-0.11606542312336467,0.0068008935658471145,0.01146529087648965,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,5,0,0.6167182661809306
prior,C implies A,0.12418492877101418,0.11384556490168506,0.12878930714424505,0.1250523680340861,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,5,0,0.6167182661809306
LL,A || C,-33.089774357499394,0.09476809551816032,0.23729654786382065,0.10324664612658319,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,10,0,0.5562985815035588
LL,A implies -C,-6.17919763290141e-11,-7.17587080620969e-14,5.8462490166522e-13,4.295141799196171e-14,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,10,0,0.5562985815035588
LL,A implies C,0.32347969082651484,0.30652014598090654,0.30774394849101405,0.31773555223540967,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,10,0,0.5562985815035588
LL,C implies -A,-1.7488781238012843,-7.601939298403021e-5,1.3265202235916083e-4,4.752490565399193e-7,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,10,0,0.5562985815035588
LL,C implies A,0.2902818676642596,0.26197801408618665,0.2843879945554411,0.27060464255997063,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,10,0,0.5562985815035588
PL,A || C,-0.009010909168201435,4.378539515293697e-4,0.005439162030407595,0.0017009371336893185,0.014921002504813817,2.9292911962921203e-15,0.5103126156454625,4.280100236763363e-6,0.47476210174954103,10,0,0.9987638078612117
PL,A implies -C,-2.801596748285292e-13,-6.180289187903203e-17,1.5689372645692574e-15,1.9294764867046674e-16,0.014921002504813817,2.9292911962921203e-15,0.5103126156454625,4.280100236763363e-6,0.47476210174954103,10,0,0.9987638078612117
PL,A implies C,0.49067320061351616,0.4591470723220488,0.47091282002072443,0.4774085743321143,0.014921002504813817,2.9292911962921203e-15,0.5103126156454625,4.280100236763363e-6,0.47476210174954103,10,0,0.9987638078612117
PL,C implies -A,-0.003415046655071201,-2.3335058263122867e-7,5.75083870475969e-7,3.912647115577245e-9,0.014921002504813817,2.9292911962921203e-15,0.5103126156454625,4.280100236763363e-6,0.47476210174954103,10,0,0.9987638078612117
PL,C implies A,0.45771201177236526,0.41459363517090075,0.4454752323790638,0.4300427451791695,0.014921002504813817,2.9292911962921203e-15,0.5103126156454625,4.280100236763363e-6,0.47476210174954103,10,0,0.9987638078612117
prior,A || C,-13.687276239670766,0.010904319816701851,0.23356908157686232,0.22087208569443967,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,10,0,0.6167182661809306
prior,A implies -C,-25.103542705506225,-0.1254218295324652,0.010829036194738954,0.006902258293673033,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,10,0,0.6167182661809306
prior,A implies C,0.1289925944798248,0.12243063128680366,0.12489786203377998,0.12930311396144095,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,10,0,0.6167182661809306
prior,C implies -A,-48.10929802981573,-0.11606542312336467,0.0068008935658471145,0.01146529087648965,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,10,0,0.6167182661809306
prior,C implies A,0.12418492877101418,0.11384556490168506,0.12878930714424505,0.1250523680340861,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,10,0,0.6167182661809306
LL,A || C,-33.089774357499394,0.09476809551816032,0.23729654786382065,0.10324664612658319,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,1,0.01,0.5562985815035588
LL,A implies -C,-6.17919763290141e-11,-7.17587080620969e-14,5.8462490166522e-13,4.295141799196171e-14,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,1,0.01,0.5562985815035588
LL,A implies C,0.32347969082651484,0.30652014598090654,0.30774394849101405,0.31773555223540967,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,1,0.01,0.5562985815035588
LL,C implies -A,-1.7488781238012843,-7.601939298403021e-5,1.3265202235916083e-4,4.752490565399193e-7,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,1,0.01,0.5562985815035588
LL,C implies A,0.2902818676642596,0.26197801408618665,0.2843879945554411,0.27060464255997063,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,1,0.01,0.5562985815035588
PL,A || C,-11.720128868023428,0.03943721053697904,0.17132891953878054,0.04537296692563539,0.27303217070455943,7.643412273436714e-13,0.37858662057196524,9.642181601649127e-4,0.3474169905625623,1,0.01,0.686256358837586
PL,A implies -C,-4.6753594211162874e-11,-4.250313023563614e-14,3.991082726149459e-13,2.4353635826891085e-14,0.27303217070455943,7.643412273436714e-13,0.37858662057196524,9.642181601649127e-4,0.3474169905625623,1,0.01,0.686256358837586
PL,A implies C,0.36466985858431905,0.34300603757878356,0.34766627237801084,0.3560603466910065,0.27303217070455943,7.643412273436714e-13,0.37858662057196524,9.642181601649127e-4,0.3474169905625623,1,0.01,0.686256358837586
PL,C implies -A,-0.8792942247450369,-4.7036631073769754e-5,9.846639915768744e-5,3.75745949154591e-7,0.27303217070455943,7.643412273436714e-13,0.37858662057196524,9.642181601649127e-4,0.3474169905625623,1,0.01,0.686256358837586
PL,C implies A,0.33611788057526826,0.3029179497221386,0.32770285514506386,0.31332725248660553,0.27303217070455943,7.643412273436714e-13,0.37858662057196524,9.642181601649127e-4,0.3474169905625623,1,0.01,0.686256358837586
prior,A || C,-13.687276239670766,0.010904319816701851,0.23356908157686232,0.22087208569443967,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,1,0.01,0.6167182661809306
prior,A implies -C,-25.103542705506225,-0.1254218295324652,0.010829036194738954,0.006902258293673033,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,1,0.01,0.6167182661809306
prior,A implies C,0.1289925944798248,0.12243063128680366,0.12489786203377998,0.12930311396144095,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,1,0.01,0.6167182661809306
prior,C implies -A,-48.10929802981573,-0.11606542312336467,0.0068008935658471145,0.01146529087648965,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,1,0.01,0.6167182661809306
prior,C implies A,0.12418492877101418,0.11384556490168506,0.12878930714424505,0.1250523680340861,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,1,0.01,0.6167182661809306
LL,A || C,-33.089774357499394,0.09476809551816032,0.23729654786382065,0.10324664612658319,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,3,0.01,0.5562985815035588
LL,A implies -C,-6.17919763290141e-11,-7.17587080620969e-14,5.8462490166522e-13,4.295141799196171e-14,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,3,0.01,0.5562985815035588
LL,A implies C,0.32347969082651484,0.30652014598090654,0.30774394849101405,0.31773555223540967,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,3,0.01,0.5562985815035588
LL,C implies -A,-1.7488781238012843,-7.601939298403021e-5,1.3265202235916083e-4,4.752490565399193e-7,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,3,0.01,0.5562985815035588
LL,C implies A,0.2902818676642596,0.26197801408618665,0.2843879945554411,0.27060464255997063,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,3,0.01,0.5562985815035588
PL,A || C,-1.3303814114884176,0.00506888934218437,0.07080393055283261,0.007692547500331503,0.11867626109056612,2.95440930329281e-13,0.45542160197959386,3.698900199532722e-4,0.42553224690960917,3,0.01,0.8745962091925007
PL,A implies -C,-2.374780895485591e-11,-1.6720915419417464e-14,1.7690199155563153e-13,8.869397062826923e-15,0.11867626109056612,2.95440930329281e-13,0.45542160197959386,3.698900199532722e-4,0.42553224690960917,3,0.01,0.8745962091925007
PL,A implies C,0.43847685714462725,0.41154015441420416,0.4205384843738941,0.42738668484435544,0.11867626109056612,2.95440930329281e-13,0.45542160197959386,3.698900199532722e-4,0.42553224690960917,3,0.01,0.8745962091925007
PL,C implies -A,-0.2963188936164332,-2.0043201537577823e-5,4.842028847057798e-5,1.82216239707987e-7,0.11867626109056612,2.95440930329281e-13,0.45542160197959386,3.698900199532722e-4,0.42553224690960917,3,0.01,0.8745962091925007
